,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,Y101,Y102,Y103,Y104,Y105
(Intercept),1.84523800342614,-1.62648426718157,0.461343587292376,9.84020276698796,2.52836960541517,-15.5573047492867,43.77938079081,0.562904664577036,7.6651088986554,2.26822286228257,665.819040810513,1.24473954641345,3.70670738472551,69.8182287395142,-69066.2685145742,-12379.6903804292,10.4039872034114,-2.93734197638771,-20.5939192994741,212.71147455614,-2.57365041919745,-14.5471707162329,-10.3890695429639,-148029.111373204,-30.7718284643949,22.957016188011,0.799383654921766,-75.8920227266774,3.59795572032994,121.408681859555,196.565615829069,5.01357528224854,18.4789967593445,527.791155473736,58.0944937704565,0.964531191313774,0.477751997557606,0.336488856850732,2.10597566891619,1.04922724847284,0.0708740664364286,3.7929672015675,0.337768616706465,1.51145888903144,0.722531549958289,16.3740307146477,0.942107572610128,1.10904937821656,8.30704033320215,-8.93240374172016,5.33086412242602,1.08122496358019,0.238544480561776,0.0839866356273336,2.33578860416602,0.896845160554119,0.755880924931973,0.835994172383343,-25.1124875025521,0.508909927428736,3.20564916386972,0.629271396029697,-0.486018358713097,0.9050677857028,8.30776261772118,6.3235100374269,1.11348265517789,2.77060812632057,15.6639166490113,4.7067490458408,0.582036840882032,0.203483947426891,0.937262306686748,0.670099872945734,0.667355713988549,0.778228785216843,0.782165744215315,0.984090137594355,0.857956010368967,0.857220348934033,0.593933518302091,0.877381200089642,0.630546881477011,0.460439455263556,0.0559123981401355,0.35881309969858,7.8066494174247e+36,0.00822165199817754,0.0117926869924322,0.0204944972165446,0.0273710450817835,0.0287837048169713,0.0425416680341276,0.581360896713967,0.552463738940927,0.649941839598072,0.762195009064716,0.760241111459523,0.810066423843501,0.939976781157427,0.702134444469782,0.957649360997455,0.952747949981231,0.7811832732968,0.780134960558374
h(X14-245.998),-0.0522173373415266,2.83044694179509,-0.0074319535188581,1.7208227397951,-0.474385752333321,-2.55777209387675,-53.6080286273114,-0.0937998531895234,-2.00576274550751,-1.47779159358219,201.441759496795,-1.35157084179254,-1.31528642086792,1.07244576193545,209807.960576458,10953.8555582623,-14.2612590341062,-3.35246156202866,-23.5971841378888,-97.8842799431477,-3.34580722857323,-8.08067241106175,-3.09633630081544,47460.6072561248,-8.71500056674373,327.62107450794,-0.431534818995088,468.885592026404,2.04576477671094,51.624182928413,269.670202623571,1.11833442076547,1.45265354062331,319.567169989689,21.1098905148487,0.000666531150332648,0.0864790015652223,-0.0209932629655866,0.482124065338846,-0.059458075303892,-0.14924513606266,-2.72189203312049,-0.0999140542714224,-0.204203079510237,-0.324885465280855,1.6275794053088,-0.110992952717016,-0.323474076140167,0.382647993146732,676.562124586885,61.1940507178859,-0.825105232930175,-0.490714913832567,-0.722421317719586,-0.721455034144983,-0.127205966619242,-0.175449929622217,-0.0372714846043805,50.1915084988447,-0.107443414513084,5.62968701252132,-0.0687577947282973,3.94414181074043,0.322877112178625,1.53267534090673,5.99546270356158,0.197890919013869,0.304797368748641,6.35593626432175,1.56811481862226,-0.0148823748150986,-0.00355944210044809,0.00332132246078909,0.0128221342721744,0.0132663391396524,-0.0190014458433374,-0.0195045012027459,0.00930948625301279,-0.0321831050450686,-0.0321203516854327,0.0039816373428849,-0.0926489665982899,0.0305867871424668,0.00158116660629302,0.0195625697193247,-0.0105595771404115,1.78991430887358e+37,0.00987529631486353,0.00684504180362843,-0.0103218599529392,-0.0119647152616796,-0.0121121554152095,-0.0124955310177781,0.0550857236100785,0.00289584367522858,0.0174053772915695,0.0584303083140536,0.0420885209515331,0.0274950907572298,0.00942809976577307,0.00485106404021048,0.0031262153343274,-0.000777790800171747,0.0194988740321376,0.0182557493682148
h(X73-0.0964939),-180.141422419981,4158.81964544922,-72.5934577445462,11587.3609597211,-5472.69726270662,36726.2303837713,171510.646703948,443.916599074879,-589.472412770952,4449.49501852169,106921.23668426,-8096.13498957357,-4825.56621195771,-50525.9148306392,17513780.006096,-2696736.71026215,-30252.9833731487,-1893.4121925058,-44998.8404952798,-399707.906075817,7734.13037208108,-26112.3797290754,909.800701740901,17233282.1077497,2489.47063340789,-22310.4995063521,-1011.41898057158,-22152.470101744,-1887.75551510526,-62819.0125444599,-208258.480561996,11405.400906444,27578.0023210885,-117208.172761139,-45595.3235978974,-47.8833772726971,206.791370344299,-125.075293419774,2535.17017327827,-1480.05989853956,4604.84776668987,7588.3190532175,332.64384919044,141.059938615716,1041.98488433109,7225.5181575384,-692.168332618967,-587.10683397072,-3197.67013923552,-382325.460263323,-34300.5180937884,-717.914648431447,-230.774170767301,-1047.22028706757,-2644.48126508503,252.989644188334,-519.747780985137,-14.624540564519,4990.9767688007,-109.017066826087,23.4680019943636,68.9814863076809,151.305377967992,-52.0571958583363,-4324.07951398878,-11723.4741085473,1145.99514104655,3033.02307036835,-4189.8464870949,-3683.04443678478,-34.3028306381312,60.2907462580522,8.56087261664952,-14.1819584531836,-14.1215325917119,163.006877340119,135.592174364043,-9.62531265253225,84.092084377482,84.0496527451291,55.3999128315563,-45.8131174051348,-443.623935668166,-355.322296002089,-86.2705006644273,-300.167589871242,4.83456441171435e+40,6.38774131078621,5.45106316569411,3.92320210289503,10.6338543986564,12.8359394498018,16.8715881292692,-387.314364239234,12.5627095943024,-85.3640006582368,-222.752622283763,-383.784201511784,-60.7568219278446,-4.03083859719071,-4.06848543488106,367.196557490448,219.775355674899,146.358443305161,146.364809308302
h(X74-190.977),-0.485509545539011,-3.51262303940763,0.0659955026039178,5.61937845924135,4.63897939901419,85.4606427519429,-10.9333658172983,0.11956238916476,-0.0923494695361538,2.27921333250827,-98.9299541390812,-2.16490587391851,1.06452706289703,-97.6420211500288,395009.623824382,9932.98653043812,54.5192653831388,7.29673415636399,117.939098953604,1052.19335979089,-1.71092034549572,31.0500837187388,0.023666008492747,-7823.73839963344,1.16125687314259,47.4309042059094,2.25694628601098,-26.0028251416737,-2.6552535982788,-19.1332511676633,-89.1150197286791,-3.85489493460344,-7.06154076439691,-200.676715355173,-16.7837872743314,-0.122185067035074,-0.415748810316546,0.127100437944007,0.729185545669812,0.893515399268532,3.31635574291508,1.74429723694539,0.166820647504186,-0.127796983471961,0.441558401560167,-3.36498114958085,-0.46804337891104,-0.0240657151970623,-7.78248024097383,1070.49866357092,48.4882283174782,1.66175611993804,0.968241766098894,2.81360326065231,6.86467210270693,0.0640598857233648,0.841699079862099,0.0246995983090812,11.4607668418759,0.193796843104677,0.408116140788177,0.460703966837214,-0.132288392216144,-0.351176645096397,-0.208019193855156,0.525903741399537,-0.334663501505637,-0.933110744397718,-3.13902625586387,-0.667290781250676,0.0674942646162359,-0.0278790704087651,-0.0186994664181277,0.0382882170611275,0.0374868290861826,-0.0434208473095087,-0.033083015717768,-0.0137496729030856,-0.0184775762841287,-0.0185744788832435,-0.0182491311479586,0.0712367131990458,-0.195808499406802,-0.165375482242681,0.0451374681405292,-0.0971417962072725,-5.80872192375127e+37,-0.0158225408832648,-0.0236175774755,-0.0166832110372208,-0.022178909753648,-0.0228175672246692,-0.0261501728310208,0.0693493010086811,0.0384664994884021,0.0569611542799227,-0.0226454059065481,-0.0836003196663502,0.0104668609420959,-0.000776064798230571,0.0145876789588063,-0.0693702760006314,-0.0590016095454716,-0.0391751820581989,-0.0461960323185498
h(X74-193.101),0.0797808472299957,2.81350917128518,-0.0770152978308399,-9.35835380677847,-2.34626314216495,-13.1192819362988,-31.1279366943004,-0.0347106136399522,3.46363151920996,-1.18785766584158,82.4340316383698,1.89173906232899,0.940491938139501,55.8530370647925,-219450.638618748,-4326.41648631235,-29.9494461645988,-3.63706225241122,-67.5073291472495,-593.618755402115,1.10572774825768,-20.209626729668,-0.980659149018342,18224.3362586028,-3.37474802624783,-19.7914015699787,-0.970187773891531,36.4089479025462,1.63555169786613,15.2436232095794,86.9094983981362,2.21347258770652,3.49188755424256,154.406149537539,13.8438598538716,0.00260710162438849,0.370268809079759,-0.100457175286093,-1.2969974138012,-0.385708156815,0.316985536277591,-2.55072817650224,-0.0809664207632113,0.568024944746233,-0.144055787691684,2.47830876545396,0.437951946166471,0.130448381765212,5.59687394165693,-530.735338484216,-14.8947347410782,-1.00350256373617,-0.458236183851003,-1.53941758945555,-3.84346331643854,-0.0243356417707992,-0.493883895763938,-0.0221628154232259,-1.06956331967522,-0.131432082062729,0.490906840817319,-0.176375746418572,0.36978603439707,0.223408147354436,0.116120597143638,1.5425679737641,0.261180963656776,0.452353372754334,3.00826380660603,0.305418122953705,-0.0378887870438354,-0.0101287640860058,0.0133831325773016,-0.0304836048247636,-0.0298069521433332,-0.00752233459483548,-0.00479470802066229,0.00368417523265952,-0.00609373817243249,-0.00608186191592243,-0.00765038401058202,-0.0749344140764186,0.126374969691474,0.113904050727811,-0.0143482560370711,0.0746948993677563,2.76789001544523e+37,0.0235159937587599,0.0278605547568344,0.0223709888907503,0.027057949248006,0.0290763144378567,0.0292604372864607,-0.0106855055792879,0.00807539819026945,-0.0314755129814503,0.0253198989045913,0.0816639519910272,-0.00912013049852367,0.0142597917308313,-0.0462727704341567,0.0205843111741428,0.0276587655155876,0.0018886291564876,0.00426461415537241
h(X7-290.933),0.147751817113252,1.04978772776588,-0.130254602442156,1.08650635079394,-1.45924767612252,-75.9815153437232,14.8831151610892,-0.127703706106604,-2.81608894875169,-0.346589462015055,-3.46024110264417,2.40675719201655,-1.04711587985291,36.7399137880402,239151.635825617,4582.42736049233,43.0395120097298,5.52998786966875,42.5244177334107,707.507971224938,-1.95962205061244,14.6640398579899,-1.78873429377387,68972.164889694,-4.67213623010185,58.0479809617361,0.607855988153794,34.8802569180095,3.21206079677879,66.340323905674,226.457276257216,2.19578207786279,7.24090691527934,478.499769245008,38.7630277425551,0.0845612067714435,0.110277681304966,-0.0909262856285813,0.312523967719501,-0.499809092445696,-2.50643771349721,0.22942347506101,-0.106500584104356,-0.589913183450887,-0.141539868981097,-4.66226074090906,0.165500078077003,-0.192770122501528,1.4100515409676,716.057131312561,28.5800750357945,1.75790899842881,0.781969376318832,1.19807429485732,4.68507199107631,-0.00677612535161832,0.402068205875,-0.0376345756274725,62.9203208724895,-0.0459275392921343,1.58473233650592,0.083434671017111,0.0926561141872347,0.613851878222806,2.62925964852446,7.20391613931076,0.385092986925881,0.88455722593273,8.35910582561198,1.96060533008815,-0.0368330938549336,-0.0406488897649698,-0.0117666140207885,-0.0307223989146932,-0.0309717512342668,-0.066113909887644,-0.085002444417303,0.00716202087284476,-0.0749089016649987,-0.074949132131832,-0.00782805440889414,0.0244342005018863,-0.0365374768865411,-0.00460499652816256,-0.017404730145588,0.0308274484914199,-5.40279024222926e+37,0.0388073480824407,0.0233237718401952,0.0235500358871525,0.0271743426008337,0.0294685455891846,0.0238841954167152,-0.0164401109888002,0.0388834542189833,0.0197414302578493,-0.084230335192745,0.0553943628506918,-0.0355225046015313,0.00743486405420619,-0.111632111691612,-0.0196651155748786,0.00472296044696691,-0.0160590135456936,-0.0186287130105243
h(X7-288.832),-0.0885649825430951,-1.32574444853717,0.0402695613681118,-2.40686219959625,1.00479284526167,40.7786173741546,-21.3388930048542,0.0361106453672183,0.912856421742938,-0.192486128680293,14.998167553434,-0.988879642185234,0.435542085276869,-8.92685820685243,-129715.563689781,-3140.12278175403,-23.9119792386426,-3.41028999283936,-26.0267810908342,-371.081330811718,-0.0681787814685578,-9.000856046867,0.585987551971509,-31938.949723103,1.43219439838543,-50.9130482259847,-0.437746437987833,-41.3181630651356,-1.94984611359842,-33.7539649287535,-136.102956871264,-2.17000660887554,-3.85170824959662,-175.649364318862,-14.9988094487173,-0.0297920008625159,-0.206641767386841,0.0271602941964446,-0.484151198387079,0.319795523874309,1.38048037368177,-0.66401890643699,0.0265934346295449,0.243779761101208,0.00282062215913859,2.13337023000954,-0.0320628220365898,0.0907008524085572,0.183636159906829,-378.756072855759,-15.3310530590729,-1.03903347522155,-0.516106060635651,-0.778083335657728,-2.47181938940388,-0.034492112217592,-0.235838904148746,0.0172840482515539,-28.0230471218987,0.00667257740571245,-1.5270825286252,-0.0740440977556297,-0.37359036120662,-0.293587037553062,-0.983079990053636,-3.07159197274316,-0.370103700459415,-0.438395646828577,-1.77387948713214,-0.336263624123424,0.00277814163306642,0.0198910355318749,0.00825388053756391,0.0153317595741482,0.0154248770977004,0.00876950981022098,0.0186978221257446,-0.00260226254249077,0.0244768100504089,0.0245096463712033,0.000402548877160424,-0.0259873751056488,0.0493655847075406,0.0217100992028242,0.0170590167565324,0.00557093571052045,2.99891423306954e+37,-0.0109415432924073,-0.00974062263413076,-0.0122755931036114,-0.013899088275118,-0.0155615717624051,-0.0125997423565402,0.0572298569180353,-0.0122827759237499,-0.00960543039435889,0.0533424948564158,-0.0282572866828054,0.0300894510999807,-0.000831741654468956,0.0779260234822885,0.0146551525487883,-0.00107351603764381,0.0160698493644162,0.0189710106664285
h(X7-293.935),-0.034713332859367,0.211357233938078,0.105429148481575,2.4869914783738,0.00377038165678659,38.9910390213544,11.3162820431681,0.118479048541516,2.67453089827357,0.64686210312579,-84.4737832521907,-2.48644011472895,1.01981775039228,-49.1014128461104,-145238.540100773,-1553.13306030654,-21.1586039047103,-2.44492485146834,-18.4720432709631,-388.110664693941,2.75450146818349,-6.12188351926902,0.690059585982412,-49609.0533858667,1.83776822710474,27.2927328456681,0.0470107185877956,11.6763845525502,-0.132716615074054,-22.9736478695943,-15.2497397548645,1.11605215470884,-2.71675181105364,-305.532268384332,-21.5775979057171,-0.0402819521553313,0.178680924489299,0.0673253245192984,0.407172590056495,0.0555663723177748,1.13662201216671,0.82826157359951,0.100974773507523,0.479255951201144,0.156848883901741,1.97851446656848,-0.283801977515197,0.127768714394336,-3.11233571353319,-481.227014899066,-15.6843776014462,-0.805092329904014,-0.257853008124444,-0.422594698699381,-2.54383387665823,0.062486855679583,-0.183729646135705,0.0128719284326791,-50.121399040781,0.0405091713292862,2.35606140667679,0.0536568713053713,0.364748276158258,-0.254355692047396,-1.44206010502334,-3.64008279462713,0.189174471474449,-0.361474585234711,-7.86287111080504,-1.87665966587308,0.0245275264530875,0.0153405429951755,0.00338975009997982,0.00541978708559289,0.00564814672675908,0.0808728151581279,0.0926667098787064,-0.00413045403539912,0.0538862911161147,0.0538839262915154,0.0282055352211011,0.0247767676623472,-0.0402033218656499,-0.0381417178306921,-0.0202061417137404,-0.0596191157718816,2.71036328735122e+37,-0.0458540919749052,-0.022137341718177,-0.016446631357665,-0.0195358054888406,-0.0199186088929855,-0.0170806257079639,-0.0848712640491881,-0.0477142005408398,-0.00631574230350811,0.0437753811535415,-0.0243181142435498,-0.000999508832362386,-0.0115317887338448,0.00898629091452933,7.14497687132607e-06,-0.00539618764692388,-0.00717362067414119,-0.00784114852485564
h(0.803716-X21),-0.0841714206647463,-12.8571563289658,-0.133892071967925,0.495177983133679,-3.9735656126941,-28.2772728196857,34.367931151734,-0.224725459207759,-8.11250481449322,-0.960186494633479,1270.84916797269,-7.86638984795513,-1.01652357828298,-110.604362337638,-180875.568479033,-19957.9757492749,-61.0343825626719,5.27297672720127,-98.196579232586,-588.11264911201,-0.120965147555519,296.444956599577,-7.00354022342614,-153504.742625019,-17.5250009556423,-246.84221311722,-0.407654652209416,-182.618070151543,4.40227596934045,-14.7526199202546,-45.9974255109319,-2.40185784455157,6.45879525025648,276.343037398107,91.975648316837,-0.0586096112072656,-1.34884902322675,-0.147346265410544,0.649427497514902,-1.25767344596698,-1.05785269342808,1.02732723603088,-0.151377853165551,-1.24627850622938,-0.203302221248641,23.0546460671162,-1.72256824317494,-0.744473351742103,-11.1184953740511,129.738419472385,-79.4473319634869,-2.09724552597607,0.0430100400597121,-2.66736446408653,-4.31711678073945,-0.196799575384015,3.72324197525511,-0.329252325023813,-122.730013331847,0.0223368848965288,-5.24107465471327,-0.102028718637916,-2.89564296634688,0.286805742097481,-2.75576811029841,-4.49893682596035,-0.240945803258974,0.182208424175689,-2.72203934595619,0.634816498552837,0.0121075356939709,0.0642842144105202,-0.0139962553808473,0.0327810700098079,0.0341115119081649,0.0402156608599832,0.0802854187984109,-0.085608845579016,0.0975029251703281,0.0969939590754117,0.0911600080900062,0.424326300492208,0.555243459399908,0.149280535080937,0.0543990537397426,0.0737046154810786,7.1041484116511e+37,-0.0186533409152407,-0.0352451150181719,-0.0431294743742912,-0.0480340192802716,-0.0494007008676882,-0.0366620416202426,0.330819287759005,-0.345239298454286,-0.167625321599968,0.423946908723961,-0.221249956969784,-0.0299195618602204,-0.040976407669745,-0.0410057662632128,-0.0607484341417613,-0.0484538776743383,-0.0632875561120293,-0.0487731026681854
h(X74-188.854),0.315457739328555,0.760435950717241,-0.0246372397930264,0.769470570046027,-2.38922582041084,-56.0551587121666,27.3893822803372,-0.0984238626200798,-1.19593600918569,-1.27142161246254,4.67726708864737,0.468129704563475,-0.896047146972249,44.4376561908084,-208191.977761875,-5654.75445793177,-26.1259881667248,-3.90022990873663,-56.2872656606469,-485.870008454045,0.234204238490392,-13.5929291516005,0.0618438455759714,-7383.14699491119,-0.331083114774046,-33.0616639462695,-1.21672493954129,-6.42712186027734,0.654685666058694,-6.85674544653606,-7.78514730088691,1.16429460143036,2.49130704561312,18.5001734560953,2.66923618891779,0.073071302219745,0.065540725669181,-0.0560773788568511,0.13183504501355,-0.505309165755189,-2.5305555895987,0.283490000300003,-0.0992846075266744,-0.131920491611713,-0.289975404440596,0.992179649101423,0.108557093059438,0.0219514610943262,3.09604195733162,-618.334971411103,-29.2199260674471,-0.807537937433782,-0.531849239622524,-1.38952396464243,-3.19045765066988,-0.0539083785880874,-0.39146518761869,-0.0133111718604412,-13.1576440355549,-0.0965234164770157,-0.778123002022525,-0.270453651596861,-0.205495721661635,0.0826404931272125,-0.445412967938463,-1.99781064478449,0.000489901545854448,0.333528170859329,-0.710240690216496,0.267871239070662,-0.0197313608153599,0.0314835346869064,0.00764106297813342,-0.0122694475390263,-0.0119809642933974,0.0537303924742958,0.043519527723049,0.00934127546569084,0.0333308391551182,0.0333575765243142,0.0290806484471088,-0.00315092406655087,0.0899388065045454,0.0692889937404814,-0.0243671728406393,0.034732359183337,2.98481051470419e+37,0.00243529972628703,0.0055077495484595,0.00284745428872828,0.00443203770151966,0.00389712449166381,0.00626799232677762,-0.0320369884319424,-0.0278998425603564,-0.0273991220292889,0.00980881576193167,0.022917068700763,0.00168413504739027,-0.00709633569560837,0.0211004658522421,0.044533470012371,0.0335251544514156,0.0340851137791004,0.0387765175546918
