,Y1,Y2,Y3
(Intercept),0.570071343478656,0.0934420859735936,0.940059357598117
h(X63-4.58241),-0.0757456358795029,-0.035787448105779,0.00484287821461599
h(4.58241-X63),-0.0481119727469268,-0.0201129157655068,0.000353078364734016
h(X4-0.428925),-0.166908368111771,-0.0491105787836491,0.00514760647113182
h(0.428925-X4),0.553570956234714,0.344095855993966,0.0174245815216229
h(X1-5142.58),1.40812928214352e-05,8.55639051082316e-06,-3.48410731335228e-07
h(5142.58-X1),-3.87904004380571e-05,-1.36412362161437e-05,-9.0060949082314e-07
h(35.4452-X74),-0.0094497551749447,-0.00266005716032238,-0.000124160442939786
h(X28-252.881),0.000378225459301962,0.000130458237611017,2.34902386197607e-05
h(252.881-X28),0.000502087512125384,0.000192673210609695,1.08580797228723e-05
h(X70-110.363),0.00229343385130884,-0.000174811374078311,-8.72110224322172e-05
h(110.363-X70),0.00200015643541953,0.000973267764310963,3.44569132293882e-05
h(7145.4-X2),-1.26368425953222e-05,-6.99115887644237e-06,8.52430240242565e-07
h(X65-0.0193195),17.7996193516076,6.1590741876214,-0.636172459237869
h(0.0193195-X65),33.9564230138204,13.6503276485703,0.572781539658763
h(X7-26.496),-3.64587005154921e-05,0.000175798873200033,6.05173043951664e-05
h(26.496-X7),-0.00165016309980752,-0.00222212394324471,-0.00235832412883215
h(X68-0.339352),-0.150387070846455,0.0648668422798879,0.00388482102337919
h(0.339352-X68),-0.874923936204141,0.288197003053618,0.0285826250510399
